step,removed_node,normalized_efficiency,percent_remaining,removal_time_seconds,removed_node_names
0,,1.0,100.0,0.0,
1,52.0,0.8497859317669251,99.74358974358975,8.8943,Zwolle
2,9.0,0.7544450866891823,99.48717948717949,15.8052,Utrecht Centraal
3,3.0,0.6883615570870573,99.23076923076923,13.1285,Rotterdam Centraal
4,90.0,0.5030512924591368,98.97435897435898,8.3147,Amersfoort Centraal
5,193.0,0.4448715051939418,98.71794871794873,3.7437,Zutphen
6,96.0,0.40251854793246583,98.46153846153847,17.468,Weesp
7,8.0,0.3809200433443926,98.2051282051282,15.0192,Hertogenbosch ('s)
8,40.0,0.36043068377898013,97.94871794871794,13.5668,Amsterdam Sloterdijk
9,110.0,0.3244097878583337,97.6923076923077,12.3043,Leiden Centraal
10,58.0,0.30597789070312165,97.43589743589743,10.1397,Gouda
